,file_contents
1332,"succeeded in tugging off.
"
1333,"we reached the insti where a crowd of students had gathered to see their first set of
"
1334,"grades. from these one could determine their first grade point average, or gpa, on the
"
1335,"10point scale. the topper would be close to 10.00, while the average would be around
"
1336,"6.50. we, however, were closer to the bottom. clicking through the scientific calculator,
"
1337,"alok calculated our scores.
"
1338,"“ok, hari 1s at 5.46 and... ryan is at 5.01 andi... ?mat 5.88,” alok said.
"
1339,"“so all of us are five-pointers,” i said, as if making a particulary insightful comment.
"
1340,"“congrats alok, you have topped amongst us,” ryan said.
"
1341,"topped amongst us, i thought. as if we were the high-brain society or something. these
"
1342,"were pathetic grades: we ranked in the high 200s in a class of 300 students. alok
"
1343,"recalculated his score, hoping for some miracle to happen on the calculator. but miracles
"
1344,"never happen in iit, only crap grades do.
"
1345,"“screw that. bloody hell, i am just a 5.88. this is so below average.”
"
1346,"“we knew that, right?” ryan said, “whatever. alok, let’s celebrate this over chicken.”
"
1347,"“celebrate!” alok spluttered. “i have just screwed up any chance of getting a us
"
1348,"scholarship or a good job and you want to bloody celebrate?”
"
1349,"“grow up, fatso. what do you want to do? mug more in mourning?” ryan was calm.
"
1350,"“fuck you,” alok said.
"
1351,"it was the first time he had used the ‘f’ word. from him, it sounded peculiar, i mean he is
"
1352,"still a kid.
"
1353,"ryan’s calmness vanished faster than a prof ’s smile. “what did you say?” he turned
"
1354,"toward me, “what did the fatso say?”
"
1355,"why was the bastard dragging me into this? ryan had damn well heard what alok said. in
"
1356,"fact, all the twittering students around us had heard it too.
"
1357,"“c’mon guys, let’s take the show to the hostel,” i pleaded. i don’t care if they kill each
"
1358,"other, but privacy i insist on. they were in no mood to let go and for a moment i thought they
"
1359,"were going to ignore me and have a fisticuff right there. somehow, i knew this wasn’t one of
"
1360,"the regular ryan-alok arguments; this had, at its core, their basic character contrasts.
"
1361,"“let’s go,” i said again and they dragged their feet back to the scooter. ryan rode us back
"
1362,"to the hostel as rashly as he possibly could, intentionally going over ever y bump on the
"
1363,"road. he has his own strange way of sulking i tell you.
"
1364,"we sat in ryan’s room after dinner, we had not spoken a word since the insti. i had thought a
"
1365,"little about my little gpa. yes, a five-pointer was pretty crap. from now on, every prof
"
1366,"would know that i was a below average student and that would influence my grade in future
"
1367,"courses. i knew a few five-pointers who were panned at campus recruitment last year. this
"
1368,"was crap, how did i get into this situation? was i just not smart enough? at the dinner table,
"
1369,"other students were either plain morose or extremely excited. there was the studious
"
1370,"venkat, who never left his room and was always quiet at meals. today, he was smiling. he
"
1371,"had a nine point five. he sat next to alok, and told his stories of topping in four out of six
"
1372,"courses. alok was talking only to him and totally ignoring us. there were others too. even
"
1373,"the smiling surd in our wing had managed a respectable seven point three. i think the three
"
1374,"of us were the lowest in kumaon or something. i could have mulled more over my future, or
"
1375,"rather the lack of it, but ryan and alok’s swollen faces filled my immediate vision.
"
1376,"we trooped into ryan’s room and sat quietly for half an hour or so. nobody opened a
"
1377,"book, looked at each other or said a word. i wondered if we were going to stay quiet
"
1378,"forever. i mean, that couldn’t be such a bad thing. we could attend class, study together and
"
1379,"eat together, quiet as mice. maybe our grades would improve as well. it really isn’t that
"
1380,"important for people to talk.
"
1381,"but my rosy fantasy of silence was finally broken by ryan.
"
1382,"“so, you are not going to apologize?” he asked belligerently.
"
1383,"“apologize? me? it is you who should apologize ryan,” alok said.
"
1384,"“you are the one who said “fuck you’ in front of the whole damn insti,” ryan said, “and i
"
1385,"should apologize? hari, can you believe this? / should apologize.”
"
1386,"now this had nothing to do with me, so i ignored ryan. let the two nuts figure it out
"
1387,"amongst themselves.
"
1388,"“you just don’t fucking get it do you?” alok said, going the ‘damn’ way with ‘fuck’.
"
1389,"ryan kept silent.
"
1390,"“get what?” i said. i mean, i really wanted to know what i was missing in this moronic
"
1391,"conversation.
"
1392,"“get this. today i got a gpa of 5.88. damn it, a 5.88. over 200 students have done better.
"
1393,"do you know in my twelve years in school i never even got a second rank.”
"
1394,"in most parts of the world, that would be a pretty loser statement to make. to announce
"
1395,"that you were like this nerd 1n school 1s hardly something to be proud of. but that is alok for
"
1396,"you.
"
1397,"“so?” ryan said, “your insti grades are bad. and who cares about how much you
"
1398,"mugged. why the hell should / apologize?”
"
1399,"“because damn it... because it 1s your damn fault,” alok said and stood up.
"
1400,"now that was whacko. poor ryan had just managed to scrape a five, and now he was
"
1401,"getting crap from alok.
"
1402,"“my fault?” ryan said and started laughing. “hari, listen to this. fatso screws up his
"
1403,"grades and it is ryan’s fault. my fault. hey alok, have you gone nuts or something?”
"
1404,"“say something,” alok beseeched me.
"
1405,"“say what?’ i looked away from both of them.
"
1406,"“tt 1s okay. if hari does not have the guts to say it, i can. you and your ideas, ryan. study
"
1407,"less, draw the line, enjoy the best years, this system is a machine, crap, crap and more crap
"
1408,"all the time.”
"
1409,"ryan stood up from his chair as well; i think it gives you an edge in the argument if you
"
1410,"stand up, kind of more serious and purposeful.
"
1411,"“t know you are upset and everything but there is no need to overreact. just some stupid
"
1412,"grades...”
"
1413,"“t am not overreacting,” alok said and sat back down. “and it is not just stupid grades
"
1414,"for me. i don’t have my parents earning dollars like yours. i came to this institute with a
"
1415,"purpose. to do well, get a good job and look after my parents. and you have fucked it up.”
"
1416,"another f-word; alok was still upset i guess.
"
1417,"“stop saying fuck all the time,” ryan said.
"
1418,"“t will say whatever i want. that is the problem. no one can say anything to you. you
"
1419,"propose something, hari blindly agrees and we all end up doing it. you are just a spoilt
"
1420,"brat. someone who wants to do whatever he wants without caring for his friends.”
"
1421,"“what? what did you just say? that i don’t care for my friends?” ryan said. though his
"
1422,"voice was notched at a menacing pitch, i noticed his hands starting to shiver a little bit.
"
1423,"“no. you don’t care about anything — not studies, not the insti, not your parents and not
"
1424,"your friends. you just want to have your fun.”
"
1425,"“you're crossing the line here,” ryan warned.
"
1426,"“t am drawing the line for a change. from now on, i am not going to hang out with you
"
1427,"anymore, it is official.”
"
1428,"now it was pretty clear that alok was overreacting. “what are you saying, man?” i said.
"
1429,"“no drop-shrop it. i have listened to you guys for the entire first semester and screwed up
"
1430,"everything,” alok said.
"
1431,"“so what are you going to do?”
"
1432,"“like i said, no more hanging out with ryan. from now on, i am going to be with venkat.
"
1433,"he has agreed to let me study with him. he got a nine point five you know?”
"
1434,"i felt disgusted. nobody 1n kumaon talked to venkat; given a choice he wouldn’t talk to
"
1435,"himself. he had a good gpa and everything, but he was hardly human. venkat woke up at
"
1436,"four in the morning to squeeze in four hours of muggins before classes. every evening he
"
1437,"spent three hours in the library before dinner. then after dinner, he studied on his bed for
"
1438,"another couple of hours until he went to sleep. who on earth would want to be with him?
"
1439,"“you are sick alok,” ryan said, “you are just one sick person.”
"
1440,"“my grades are important to me. my future is important to me. does that make me sick?”
"
1441,"i went to alok and put my arm around his shoulder; kind of felt he needed comfort during
"
1442,"insanity. “c’mon alok, we can study more...”
"
1443,"“stop c’mon-aloking me, will you?” alok pushed my arm away, voice all wobbly.
"
1444,"“enough 1s enough,” he said, his face contorted exactly like his mother’s.
"
1445,"this heredity factor fascinated me; was there a how-to-cry gene? or was this something
"
1446,"he had picked up while growing up? maybe alok’s family all cried together sometimes;
"
1447,"mother, sister and himself bawling away with his father, who could still produce tears from
"
1448,"one eye.
"
1449,"“you don’t understand that i have responsibilities. i have to do well to support my family.
"
1450,"half my mother’s salary goes for my father’s medicine. she has not bought a new sari for
"
1451,"herself in five years,” alok said as he choked on his tears. he needed to blow his nose.
"
1452,"ryan sat down to watch alok, intrigued. he could take “fuck yous’ ten a minute, but
"
1453,"crying was a different game altogether. and the whole one-saree-in-five-years was tough to
"
1454,"argue against. i mean, how do you argue with that? how many sarees a year is reasonable? i
"
1455,"don’t know, and ryan for sure had no damn clue.
"
1456,"“and my sister needs to be married,” alok went on, “everyone 1s counting on me. and
"
1457,"you guys don’t understand. ryan wants to play chess, see tv, enjoy his years. i hate
"
1458,"enjoyment.”
"
1459,"“will it make it better if i say sorry? i mean, you aren’t making any sense. and this whole
"
1460,"parents deal — you know i don’t understand that.” ryan was gentling, i could see.
"
1461,"but this shifted alok into higher gear. “of course, you don’t. how could you? you never
"
1462,"had them.”
"
1463,"“t had them. i mean i still have them. but i don’t sit and cry for them.”
"
1464,"“because you don’t love them.”
"
1465,"“yes i don’t. but at least iam not crying like a baby.”
"
1466,"“shut up!” alok screamed and continued crying.
"
1467,"“you are a baby. a sissy-fat baby. sorry sissy baby, now wipe your nose,” ryan said and
"
1468,"started laughing. it is something he always does when he can’t think of anything else, a kind
"
1469,"of conversation filler.
"
1470,"“shut up you... you...” alok said.
"
1471,"“t want my mummeeeeee,” ryan said, imitating alok’s choked tones.
"
1472,"“*.. shut up, you abandoned orphan!”
"
1473,"silence. yes, sometimes people say something so messed up that all bets go off. ryan’s
"
1474,"laughter vanished 1n a nanosecond. i sat up straight, confused if ’'d heard right. even alok
"
1475,"noticed the change 1n expressions and froze. twenty solid, slow and long seconds of silence
"
1476,"followed.
"
1477,"“orphan. hari, he called me an orphan,” ryan said.
"
1478,"i stayed silent. alok stayed silent.
"
1479,"“just get out. go to venkat or whichever prick you want to be with. just get lost,” ryan
"
1480,"said.
"
1481,"“t don’t need you to tell me. hari?” alok said, not crying anymore.
"
1482,"“yes?” i said.
"
1483,"“you coming with me?”
"
1484,"“where?”
"
1485,"“do you want to be with me or ryan?”
"
1486,"this was so damn unfair. i had nothing to do with all this. yet, i had to now choose
"
1487,"between my friends.
"
1488,"“yes, go with this loser hari, go hold his hand.”
"
1489,"“t am not going anywhere,” i said.
"
1490,"“so you choose ryan,” alok said in defeated tones.
"
1491,"“t am not choosing anyone. you are the one who is leaving. do whatever you want,” i
"
1492,"said, disgusted with both of them.
"
1493,"there were no more words. alok got up and left. ryan shut the door behind him as hard
"
1494,"as he could. it was purely symbolic, as we never shut the door in our rooms.
"
1495,"“you saw what he did. and he expected you to go with him, ha!” ryan said.
"
1496,"“fuck you,” i said.
"
1497,"i met neha soon after, though i was getting sick of the ice-cream parlour, and of the
"
1498,"sickeningly sweet strawberr y flavour. neha still looked beautiful as hell, but i didn’t feel
"
1499,"like talking to her. in fact, i did not feel like talking to anyone.
"
1500,"“what’s wrong?”
"
1501,"“who said anything was wrong?” i said. i can be quite a prick if i want.
"
1502,"“tt 1s all over your face. now are you going to tell me or what?”
"
1503,"that is the thing with girls. they are like half your size or something, but if they know you
"
1504,"like them, they boss you around. who the hell did she think she was?
"
1505,"“tt is nothing.”
"
1506,"she placed her hand over my arm and self-respecting nitwit that i am, i melted faster than
"
1507,"the ice-cream, like the bad mood bugs running through me suddenly got baygon-sprayed.
"
1508,"“neha, those bloody alok and ryan.”
"
1509,"“language!”
"
1510,"“sorry, i mean my friends, my best friends, they had this massive argument and now our
"
1511,"group has split.”
"
1512,"“what was the argument about?”
"
1513,"“about grades. alok said it was ryan’s fault we did badly.”
"
1514,"“really, how badly?”
"
1515,"i told her about our five-pointer grades.
"
1516,"“damn, did you say five-pointers?” she said.
"
1517,"“language!” i said.
"
1518,"“oh sorry. i mean that is kind of low by insti standards.”
"
1519,"see that 1s the thing. once you get a gpa in iit, everyone has an opinion about it, about
"
1520,"you, even if it’s a fashion design student.
"
1521,"“t know,” i said, “but that 1s not what iam upset about. it 1s this place. i hate it.”
"
1522,"neha started laughing. i told you, didn’t i, she can be a bit loony at times. “what is there
"
1523,"to laugh about?” i asked, irritated.
"
1524,"“nothing. just how people would die to get in here.”
"
1525,"“t know,” i said, “but it sucks. i have tons to study, my grades are crap, and i don’t have
"
1526,"friends anymore.”
"
1527,"“so alok wants to mug, and he goes to the mugger,” she paraphrased the recent events
"
1528,"after i had told her the longhand version, “but how come you chose ryan?”
"
1529,"“t didn’t choose, alok left,” i reminded her.
"
1530,"“what are you going to do?”
"
1531,"i shrugged.
"
1532,"“you know my dad was a 10 when he was a student.”
"
1533,"“he was a student?” i had never thought of cherian as anything less in size or years.
"
1534,"“yes, a class topper. guess he wouldn’t be too happy to know i am with a five-pointer,”
"
1535,"she said happily.
"
1536,"“so now you also want to stop talking to me,” i said.
"
1537,"“no silly. iam joking,” she said and laughed. why does she do this all the time, tell jokes
"
1538,"that are funny to her alone?
"
1539,"“whatever.”
"
1540,"“come here,” she said, tapping the seat next to her in the parlour.
"
1541,"“why?”
"
1542,"“just come here.”
"
1543,"like a trained pet, i got up from the seat opposite and sat next to her; pretty girls have this
"
1544,"power to turn mary, making lambs out of people.
"
1545,"she held my hand and turned her face toward me. “t like this five pointer,” she said, and
"
1546,"kissed my cheek.
"
1547,"“one, two, three, four, five,” she listed, smacking my right cheek each time. “see, now
"
1548,"that isn’t too bad.”
"
1549,"damn, i was melting again. “can i kiss you back?”
"
1550,"“no, i don’t have a gpa,” she pointed out.
"
1551,"i loved people who did not have a gpa. i loved anyone who was not at iit. i did not
"
1552,"want to go back. i wondered if i could work at the ice-cream parlour, filling cones all day
"
1553,"and never have to worry about classes, courses, grades, and alok-ryan arguments.
"
1554,"“let’s see a movie, how about saturday next?” she asked.
"
1555,"“sure,” i said, snapping out of my fantasy of working in the parlour.
"
1556,"“great. gotta go now. i'll pick you up from this parlour at two. matinee show,” she said
"
1557,"and left.
"
1558,"i waited for five minutes, read the list of five daily specials and thought about the five
"
1559,"kisses. somehow, it made up for my five-point gpa.
"
1560,"how i wished i had got a higher gpa, if only to get more of those ice-creamy kisses!
"
1561," 
"
1562,"alok speaks
"
1563,"fatso, cry-baby, mugger, traitor, sissy, that is how i come across to you. you
"
1564,"probably picture me as this boy who refuses to grow up, the perennial prodigy who wants
"
1565,"to show his good report card to his parents year after year. you are free to judge me, my
"
1566,"whining over grades, my splitting with the group, my reticence to cut apron strings, an
"
1567,"umbilical cord that stretches out across delhi all the way from rohini colony to the iit
"
1568,"campus, binding me to mother.
"
1569,"allow me, however, to tell you this my way, for yes, this is alok gupta, and his
"
1570,"highness hari has given me an itsy-bitsy space here to give vent to my feelings. but
"
1571,"before i do that, let me tell you a story.
"
1572,"once upon a time, there lived a boy in a lower-middle class home in one of the suburbs
"
1573,"of delhi. let us call this boy loser — just to make it easier — whose father and mother
"
1574,"were schoolteachers, art and biology respectively. loser grew up in a simple home filled
"
1575,"with notebooks and canvases, and learnt how to draw before learning to tie his
"
1576,"shoelaces. loser was good in studies (owing to two teachers looking over him at home),
"
1577,"but what he loved most was to paint. loser took part in every art competition for his age,
"
1578,"and won most of them. the prizes kept coming in — and dozens of painting sets,
"
1579,"calligraphy sets and stationery coupons later, it was clear loser was above average at
"
1580,"the easel. he wanted to be an artist when he grew up, and of course, this was a silly
"
1581,"dream. for in india, there is only room for one or maybe two artists who are ninety years
"
1582,"old (or better still, dead) to survive. yet loser did not care, he knew he would make it and
"
1583,"nothing could stop him from his goal.
"
1584,"but that is when life screws you. right at moments when you feel you have got it all
"
1585,"figured out. loser’s father got this prestigious mural painting job, which for once paid
"
1586,"well. the job involved painting the ceiling of the lobby in the education department
"
1587,"building. murals are hard anyway, and painting a ceiling is excruciating work. they put
"
1588,"these bamboos upon which the artist lies down and works, and hopes to create that one
"
1589,"masterpiece that will make the world crane their necks and take notice.
"
1590,"however, the only time people noticed losers father was when he fell down from the
"
1591,"bamboo structure, ten meters down, and that was to step out of his way lest they broke his
"
1592,"fall.
"
1593,"right side paralysis, doctors said. half of loser’ father was gone, but more
"
1594,"importantly, the whole of his salary was gone, the right hand that painted was gone and
"
1595,"so was loser & dream.
"
1596,"loser father came home bed-ridden and never left it for ten years. his one good eye
"
1597,"shed tears every now and then, and the sorrow of never painting again brought one
"
1598,"infection after the other.
"
1599,"soon, the bottles of paint were swapped with bottles of medicine. there was no money
"
1600,"to afford a nurse, and loser was appointed one. he was in class seven then, and for the
"
1601,"rest of his school years he sat next to his father 8 bed after school.
"
1602,"for a while he painted, but soon he realized the family needed money more than
"
1603,"landscapes. itt, the one college in the country that virtually guaranteed a future, caught
"
1604,"his eye. yes, to become an engineer was the only way out of poverty.
"
1605,"losers mother used to cry every night. but she could not give up. she had to keep on
"
1606,"teaching the digestive system and the endocrine system and reproductive system year
"
1607,"after year to go on.
"
1608,"“one day, they will be out of this,” loser vowed to himself as he helped his father
"
1609,"change sides at night and studied pulleys, magnetism and calculus for the iit entrance
"
1610,"exam. for two years, loser did not step out of the house apart from school, gained fifteen
"
1611,"kilos and muttered calculations while wiping bed-sores.
"
1612,"and one fine day he made it. he was in the iit? how happy his mother and half-a-
"
1613,"father were. yes, four more years of discipline and he could emancipate everyone. that is
"
1614,"when he met ryan and hari. and then, to remain with them, he screwed up his grades to
"
1615,"the lowest in the institute.
"
1616,"ryan, the man who lives for the moment, who does not want to be like him? rich
"
1617,"parents, good looks, smart enough to get into iit, athletic enough to be good in sports
"
1618,"and fun enough to always attract friends. ryan is infectious, and hari is a perfect
"
1619,"example of this infection. if ryan wants something, hari gives it to him. so, if ryan does
"
1620,"not want to study, hari will close his books. if ryan thinks gfas are not important, then
"
1621,"hari stops caring about them. ryan is pied piper...
"
1622,"i remember when he came home once, he lifted my father to carry him out, and kept
"
1623,"holding him even in the auto. it was he who argued with the hospital staff to get us a
"
1624,"good bed, and then stayed with us until three a.m. yes, ryan is good, he is very, very
"
1625,"good. for who would have broken coke bottles for unknown freshers? or who would
"
1626,"have screwed up his new scooter and overloaded it with three people, two of them in
"
1627,"possession of large butts?
"
1628,"but there is more to ryan. like did you know his parents send him a letter every other
"
1629,"week? or that he never replies to any of them? yes, he will tell you he doesnt love them
"
1630,"or whatever crap he dishes out. but the truth is, he keeps every letter neatly in a file.
"
1631,"when he is alone in his room at night, he opens the letters and reads them again. i mean,
"
1632,"if he is so cool and everything, why can't he respond to them occasionally? and why does
"
1633,"he keep re-reading those letters anyway? i always knew ryan had issues but hari is
"
1634,"blind.
"
1635,"see, even though i think i have figured out ryan somewhat, i cannot for the hell of it
"
1636,"understand hari. i mean, he really is like me — ordinary, unattractive, fat and dull. but he
"
1637,"wants to be somebody else — someone cool, smart and sharp like ryan. but deep down, he
"
1638,"knows that this is not possible. he will always remain the under-confident kid who turns
"
1639,"corpse during viva. the uncool cannot become cool. if only he’d accept that, he would be
"
1640,"able to think straight. but he doesnt, and so went along with operation pendulum.
"
1641,"when i first split up with them, i was really not sure if i had done the right thing. but
"
1642,"after operation pendulum, i am not sure if i should have ever come back. well, that is
"
1643,"life. it screws you right when you think you have figured it out.
"
1644,"one year later
"
1645,"i knew 365 days had passed since alok left us because third semester
"
1646,"results had just come out that day. how irrelevant they seemed now; another five point
"
1647,"something, another tattoo stamped on your worth as an individual in iit society. ryan and i
"
1648,"had gone to the insti to see the results, but that was incidental, the real reason was to chill
"
1649,"out on the insti roof.
"
1650,"i don’t remember when we first discovered this roof, it must have been soon after we
"
1651,"started smoking grass, which was soon after we had started vodka, which was soon after we
"
1652,"had started listening to pink floyd. floyd, vodka, grass and the insti roof: finally, we were
"
1653,"on to what really mattered in life, the stuff that made iit life bearable, especially when you
"
1654,"were a five-point something.
"
1655,"the giant insti building had nine stories; one had to take the clandestine service stairs on
"
1656,"the ninth floor to get to the roof. there was an old lock guarding the entrance to the terrace,
"
1657,"but thankfully the bolt was even more ancient. it took ryan three minutes with a screwdriver
"
1658,"to remove the rusted bolt and then we were on cloud nine, the highest point on campus. the
"
1659,"bare, rough concrete surface made up the flat patch of terrace, there was no parapet. it was
"
1660,"mostly empty, too, apart from the insti-bell tower, and a few dish antennas that helped the
"
1661,"computer and telecom networks. after dark, only the stars above were visible. if one stood
"
1662,"up and looked down, one could see the street lights on campus roads and distant views of
"
1663,"kumaon and other hostels a kilometre away.
"
1664,"ryan laid out the vodka, the joints and his small walkman in autopilot, familiar with our
"
1665,"twice a week routine.
"
1666,"we lay down on the concrete, still warm from the sunlight in the day. ryan divided the
"
1667,"pair of earphones, such that we had one earphone each, passed a joint to me, and we kept
"
1668,"the vodka bottle in the center. sip, puff, sip, rewind, stop and play.
"
1669,"the lyrics washed over us and we flew up to the sky as it flew down at us.
"
1670,"“you see all those kids screaming over their gpa,” ryan said, releasing a smoke-ring.
"
1671,"i think smoke 1s beautiful; weightless and shapeless, it almost appears as deceptively
"
1672,"powerless as the person releasing it, yet, it comes from within and rises above us all. crap,
"
1673,"i am talking all artsy stuff, grass does this to me.
"
1674,"“yes, i saw them. and i see how they look at us,” i said.
"
1675,"“how?”
"
1676,"“like what the hell are we there for? how does our miserable gpa matter anyway? as if
"
1677,"we are blocking their view or something.”
"
1678,"“screw them,” ryan said, words of wisdom from the man who knows everything.
"
1679,"“tt’s true though,” i said, “we really serve no purpose here...”
"
1680,"“of course, we do. we are the under-performers.”
"
1681,"“so?”
"
1682,"“so we bring the average down. we make them look better. hence, we bring happiness in
"
1683,"their lives.”
"
1684,"“point,” i conceded.
"
1685,"“but it is not the students that bother me. it 1s the profs.”
"
1686,"“you are talking about the design class right?”
"
1687,"“yes, that prof bhatia. i mean you were there, right? i gave him some ideas on how one
"
1688,"could design a suspension bridge and he got all excited. he told me to make a scale drawing
"
1689,"and submit it, said he would give me a special internship project. then he asked me my
"
1690,"name and found out my gpa. so then he calls me and says to forget about the drawing and
"
1691,"internship. can you believe that scum?” ryan said.
"
1692,"we had finished one joint each. ryan sat up to make another one, crushing the grass and
"
1693,"tobacco hard, as if it were prof bhatia’s innards.
"
1694,"“screw him,” i passed the words of wisdom back to ryan.
"
1695,"we refilled our glasses, as it turned dark on the roof.
"
1696,"“yes, screw all profs,” ryan said.
"
1697,"“yeah. though prof veera 1s all right.” prof veera was our fluid mechanics professor.
"
1698,"“yes, not him. though i have heard the worst one is yet to come,” ryan said as he lit up
"
1699,"the second joint.
"
1700,"“who?” i debated whether i should smoke more. ryan’s tolerance was much higher and
"
1701,"he could probably make a wholesome meal out of dope but i knew i was getting trippy. for
"
1702,"one thing, i felt i was feather-light; up here, it felt like i was floating above the world.
"
1703,"screw all profs, all students and all design assignments.
"
1704,"“prof cherian.”
"
1705,"“neha’s dad?” i said, somewhat returning to my senses.
"
1706,"“yes. they say he’s a real terror. like he is the head of the department, and 1s this total
"
1707,"control freak with other profs and students.”
"
1708,"i knew neha’s dad was a control freak, at least with his daughter. “who told you?”
"
1709,"“tt 1s well known, ask any senior. anyway, for the record, anurag told me.”
"
1710,"“so when does the control freak teach us?”
"
1711,"“next year. he takes third year courses,” ryan said.
"
1712,"“next year, too far. give me another joint.”
"
1713,"there were still more than two years to leave this place. and the worst prof was yet to
"
1714,"come. i deserved another joint.
"
1715,"“here,” ryan said, passing me the crude cigarette. he was a good pal, one who rolls
"
1716,"joints for you.
"
1717,"“anyway, i don’t want to talk about grades or profs. talk about something else,” i said.
"
1718,"ryan stayed silent; i guess he was searching for another topic.
"
1719,"“how 1s your girl?” he asked after straining his brain for twenty seconds.
"
1720,"that is how ryan addresses neha. he never says her name, as if her being ‘my girl’ is
"
1721,"more important than her being neha.
"
1722,"“neha is great. going for a movie next week.”
"
1723,"“so you guys serious?”
"
1724,"“serious about what?”
"
1725,"“t don’t know, like you love her and everything?”
"
1726,"“t don’t know,” i said.
"
1727,"that is how men talk about their relationships. nobody knows anything — neither the
"
1728,"questioner nor the answerer.
"
1729,"“has she said anything?”
"
1730,"“well, you know how she is. so damn moody all the time. sometimes she is all cuddly,
"
1731,"holds my hand, and acts cozy at the movies. but when i try something, she stops me and
"
1732,"gives me these lectures on how she is a decent girl and i should learn to behave.”
"
1733,"“what do you do? you are a bastard i know,” ryan said and started laughing. screw him.
"
1734,"that is the thing with people who know you well, they judge you before they hear you out.
"
1735,"“t do nothing. like i mean, do you know we have not even kissed yet. like i have met her
"
1736,"twenty times, but every time i get the push. she has like this under-the-elbow policy.”
"
1737,"“sounds like a nice girl. you’re lucky.”
"
1738,"“screw nice. i don’t want nice.”
"
1739,"that is true, nice people are completely boring. they don’t give you joints, and they don’t
"
1740,"let you kiss them.
"
1741,"“talk to her then. tell her to be naughty. i am sure she wants to be bad,” ryan said.
"
1742,"“are you crazy? she is a girl; girls never want to be bad.”
"
1743,"“they do. just that they want it a little less than us.”
"
1744,"i couldn’t imagine neha wanting to do the same things i wanted to do with her. “i don’t
"
1745,"believe you. did you ever have a girlfriend?” i said.
"
1746,"“then don’t believe. anyway, enough talk about women. time for another drink and
"
1747,"tape,” ryan said.
"
1748,"ryan never talked much about himself. sometimes, i wondered if he was gay. but he
"
1749,"wasn’t, i mean, i would have known. i practically lived with the guy, and unless he found
"
1750,"me hideously unattractive, i think i would have known. but he wasn’t gay, for he did notice
"
1751,"the heroines in movies, whistled at pretty girls on the street. maybe he just wasn’t in the
"
1752,"mood for women most of the time.
"
1753,"he changed the tape and put on another pink floyd. i saw the levels of the vodka bottle
"
1754,"drop and ryan scraping through his brown bag for the last joint of the day. a half-moon lit
"
1755,"up the sky, and bright little stars looked smug, winking down at us like students with higher
"
1756,"gpas.
"
1757,"you know the thing about floyd? not only are they damn good, they sound better with
"
1758,"every drink, like the singers designed them for alcohol. like samosas-chutney, 1dli-sambhar
"
1759,"or rajma-chawal, floyd and vodka are in a combo-class of their own.
"
1760,"“you know what today reminds me of?” ryan said.
"
1761,"“what?”
"
1762,"“the first sem results. you remember?”
"
1763,"“yes, i do. the first fiver.”
"
1764,"“and after that.”
"
1765,"“what?”
"
1766,"“fatso left us.”
"
1767,"ryan still referred to him as fatso and even though it is derogatory, it was always laced
"
1768,"with indulgence. i know ryan had not spoken to alok for the entire past year and he
"
1769,"wouldn’t let me as well. “don’t go to him. he left us,” he said, and i knew ryan would do
"
1770,"some serious sulking if i rebelled.
"
1771,"“how come you thought of alok today?” i asked, rising to see how much vodka
"
1772,"remained. surely, ryan had drunk too much to be talking this.
"
1773,"“t just mentioned him today. i think of him more often.”
"
1774,"ryan in a profound mood. grass and vodka have mixed to optimal levels.
"
1775,"“screw him,” i said as the song reached some of my favourite lines.
"
1776,"“what do you think he is doing right now?” ryan said.
"
1777,"“who?” i said, “alok?”
"
1778,"ryan nodded.
"
1779,"“probably mugging away with venkat. i hear he is a six- pointer now,” i said.
"
1780,"“you know hari, alok did the right thing.”
"
1781,"“yeah, right.”
"
1782,"“no, iam serious. you should have left me too. i am not good for you.”
"
1783,"now what is going on here, i thought. am i going to have to waste real good dope in
"
1784,"making ryan feel all wanted and better about himself? i have two options: one, to tell him to
"
1785,"shut up and enjoy the song, two, do what he wants me to do.
"
1786,"“what is the deal ryan? not feeling good?”
"
1787,"“no, iam fine. you should have left me. everyone leaves me. they must be right.”
"
1788,"“what?”
"
1789,"“they do. dad, mom, alok... they all do.”
"
1790,"“no need to be senti, ryan, just enjoy the evening.”
"
1791,"“you think fatso was right? you think i did not care for him?” he demanded.
"
1792,"i hate it when people want to be assured, you have no choice but to play ball.
"
1793,"“no ryan, alok was wrong. he will realize it someday. now just close your eyes and
"
1794,"cruise a little,” i advised.
"
1795,"i closed my eyes. the grass and vodka were now in complete control of the policeman in
"
1796,"me, making me see what i wanted to see. i saw neha sitting next to me, smiling and
"
1797,"embracing me. her hair, and especially that one soft, floppy lock, brushes me. her round
"
1798,"faces resembles the moon, or is it that i am actually watching the moon? this 1s trippy and
"
1799,"the grass is getting the better of me but i want to be gotten the better of. i continued drifting
"
1800,"until ryan interrupted me.
"
1801,"“you know the best thing about the insti roof?” he stood up, towering over me.
"
1802,"“that no one knows we are here.”
"
1803,"“no. the fact that you always have an option.”
"
1804,"“what option.”
"
1805,"“you can jump over the edge and end it all.”
"
1806,"“shut up, ryan.” i struggled to sit up.
"
1807,"“i’m serious. they can do whatever, but i can still control my options.”
"
1808,"“you are too drunk ryan, i want to go back,” i said, sobering up fast. sometimes, you
"
1809,"want your commonsense to get the better of you.
"
1810,"we never missed the fluid mechanics class in the fourth sem and the reason was prof veera.
"
1811,"that and the fact that the class was at noon and we finally woke up by then. prof veera was
"
1812,"completely different. for one, he was like twenty years younger than other profs. no more
"
